bpsName,bpsNumber,groupVeg,acresTotal,acresLeft,percentLeft,disturbance,percentDisturbed,acresDisturbed,acresDisturbedLeft
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,ReplacementFire,0.10636,15,10.43654174
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,NonFireDisturbances,1.3584,191,132.8919648
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,Wind/Weather/Stress,0.2845,40,27.83077797
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,NonReplacementFire,0.58502,82,57.05309483
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,Insect/Disease,0.18054,25,17.39423623
Boreal Acidic Peatland Systems,6314770,Riparian,14088,9802,69.57694492,SurfaceFire,0.58502,82,57.05309483
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,Insect/Disease,0.17704,104,102.1248168
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,NonFireDisturbances,1.35882,797,782.6296056
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,NonReplacementFire,0.59292,348,341.7253485
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,ReplacementFire,0.10886,64,62.84604111
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,Wind/Weather/Stress,0.28922,170,166.9347967
Boreal Acidic Peatland Systems,6414770,Riparian,58678,57620,98.19693923,SurfaceFire,0.59292,348,341.7253485
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,Insect/Disease,0.17446,12,1.32852194
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,SurfaceFire,0.5993,42,4.64982679
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,NonReplacementFire,0.5993,42,4.64982679
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,ReplacementFire,0.10758,7,0.774971132
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,Wind/Weather/Stress,0.28452,20,2.214203233
Boreal Acidic Peatland Systems,6514770,Riparian,6928,767,11.07101617,NonFireDisturbances,1.3729,95,10.51746536
